,index,series_title,runtime_of_series,genre,imdb_rating,no_of_votes,index,type,title,release_year,season_count
195,1099,Nightflyers,(2018),"Drama, Horror, Mystery",5.9,11691,1116,TV Show,Nightflyers,2018,1
196,835,The Dragon Prince,(2018– ),"Animation, Adventure, Drama",8.4,16736,1135,TV Show,The Dragon Prince,2019,3
197,1528,Sam & Cat,(2013–2020),"Comedy, Drama, Family",5.7,7538,1164,TV Show,Sam & Cat,2014,2
198,99,The End of the F***ing World,(2017–2019),"Adventure, Comedy, Crime",8.1,146542,1165,TV Show,The End of the F***ing World,2019,2
199,712,Victorious,(2010–2013),"Comedy, Drama, Family",6.9,20250,1169,TV Show,Victorious,2013,3
200,133,BoJack Horseman,(2014–2020),"Animation, Comedy, Drama",8.7,113345,1192,TV Show,BoJack Horseman,2020,6
201,1633,Brotherhood,(2006–2008),"Crime, Drama",7.7,6821,1193,TV Show,Brotherhood,2019,1
202,899,Daybreak,(I) (2019),"Action, Adventure, Comedy",6.7,15263,1199,TV Show,Daybreak,2019,1
203,641,Insatiable,(2018–2019),"Comedy, Drama, Thriller",6.5,22623,1214,TV Show,Insatiable,2019,2
204,26,Peaky Blinders,(2013– ),"Crime, Drama",8.8,350627,1222,TV Show,Peaky Blinders,2019,5
205,1361,Raising Dion,(2019– ),"Drama, Sci-Fi",7.2,8809,1223,TV Show,Raising Dion,2019,1
206,656,College Romance,(2018– ),"Comedy, Drama, Romance",8.9,22087,1230,TV Show,College Romance,2018,1
207,66,Gotham,(2014–2019),"Action, Crime, Drama",7.8,212039,1237,TV Show,Gotham,2019,5
208,1374,Bard of Blood,(2019– ),"Action, Adventure, Drama",6.8,8711,1238,TV Show,Bard of Blood,2019,1
209,911,Glitch,(2015–2019),"Drama, Sci-Fi",7.3,14961,1242,TV Show,Glitch,2019,3
210,1088,Marianne,(2019),"Drama, Horror",7.5,11814,1253,TV Show,Marianne,2019,1
211,995,Top Boy,(2011– ),"Crime, Drama, Thriller",8.4,13270,1254,TV Show,Top Boy,2019,1
212,227,Naruto,(2002–2007),"Animation, Action, Adventure",8.3,71299,1261,TV Show,Naruto,2006,9
213,681,The Dark Crystal: Age of Resistance,(2019),"Adventure, Drama, Family",8.5,21388,1265,TV Show,The Dark Crystal: Age of Resistance,2019,1
214,212,Sacred Games,(2018–2019),"Action, Crime, Drama",8.6,75517,1281,TV Show,Sacred Games,2019,2
215,826,Knightfall,(2017–2019),"Action, Adventure, Drama",6.8,17044,1284,TV Show,Knightfall,2019,2
216,389,GLOW,(2017–2019),"Comedy, Drama, Sport",8.0,40369,1286,TV Show,GLOW,2019,3
217,1265,Wu Assassins,(2019– ),"Action, Crime, Drama",6.4,9789,1299,TV Show,Wu Assassins,2019,1
218,592,Another Life,(2019– ),"Adventure, Drama, Mystery",5.0,24655,1306,TV Show,Another Life,2019,1
219,1141,Comedians in Cars Getting Coffee,(2012– ),"Comedy, Talk-Show",8.1,11083,1309,TV Show,Comedians in Cars Getting Coffee,2019,6
220,1085,Angel Beats!,(2010),"Animation, Action, Comedy",7.7,11828,1315,TV Show,Angel Beats!,2010,1
221,4,Stranger Things,(2016– ),"Drama, Fantasy, Horror",8.7,824966,1328,TV Show,Stranger Things,2019,3
222,494,Shooter,(2016–2018),"Action, Drama",7.5,31577,1352,TV Show,Shooter,2018,3
223,1217,Fate/Zero,(2011–2012),"Animation, Action, Drama",8.3,10190,1355,TV Show,Fate/Zero,2012,2
224,1476,Leila,(2019– ),"Drama, Sci-Fi",4.8,7897,1365,TV Show,Leila,2019,1
225,1293,Jinn,(2019– ),"Drama, Fantasy, Horror",3.5,9506,1369,TV Show,Jinn,2019,1
226,206,Designated Survivor,(2016–2019),"Action, Drama, Mystery",7.5,77717,1371,TV Show,Designated Survivor,2019,3
227,1729,Tales of the City,(2019),Drama,7.4,6327,1373,TV Show,Tales of the City,2019,1
228,13,Black Mirror,(2011– ),"Drama, Sci-Fi, Thriller",8.8,445745,1374,TV Show,Black Mirror,2019,5
229,1937,Documentary Now!,(2015– ),Comedy,8.1,5379,1375,TV Show,Documentary Now!,2019,3
230,1534,Bad Blood,(2017– ),"Crime, Drama",7.5,7486,1380,TV Show,Bad Blood,2019,2
231,1303,White Gold,(2017–2019),Comedy,7.4,9384,1391,TV Show,White Gold,2019,2
232,1062,Easy,(2016– ),Comedy,6.9,12118,1397,TV Show,Easy,2019,3
233,726,The Society,(2019),"Drama, Mystery, Sci-Fi",7.1,19913,1401,TV Show,The Society,2019,1
234,1564,Chambers,(2019),"Drama, Fantasy, Horror",6.5,7242,1430,TV Show,Chambers,2019,1
235,829,Crazy Ex-Girlfriend,(2015–2019),"Comedy, Musical",7.8,16990,1438,TV Show,Crazy Ex-Girlfriend,2019,4
236,76,New Girl,(2011–2018),Comedy,7.7,192778,1440,TV Show,New Girl,2018,7
237,539,Derek,(2012–2014),"Comedy, Drama",8.0,28354,1444,TV Show,Derek,2015,3
238,1168,Imposters,(2017– ),"Comedy, Crime, Drama",7.8,10762,1445,TV Show,Imposters,2017,2
239,274,Santa Clarita Diet,(2017–2019),"Comedy, Horror",7.8,57425,1459,TV Show,Santa Clarita Diet,2019,3
240,955,Versailles,(2015–2018),"Biography, Drama, History",7.9,13996,1462,TV Show,Versailles,2018,3
241,984,Delhi Crime,(2019– ),"Crime, Drama",8.5,13422,1467,TV Show,Delhi Crime,2019,1
242,170,The OA,(2016–2019),"Drama, Fantasy, Mystery",7.9,90768,1469,TV Show,The OA,2019,2
243,1400,The Disappearance of Madeleine McCann,(2019– ),"Documentary, Crime",6.6,8500,1478,TV Show,The Disappearance of Madeleine McCann,2019,1
244,1700,Turn Up Charlie,(2019),Comedy,7.1,6461,1479,TV Show,Turn Up Charlie,2019,1
245,379,Into the Badlands,(2015–2019),"Action, Adventure, Drama",8.0,41399,1484,TV Show,Into the Badlands,2018,3
246,1724,Secret City,(2016–2019),"Mystery, Thriller",7.4,6342,1490,TV Show,Secret City,2016,2
247,1699,Unsolved,(2018– ),"Biography, Crime",7.9,6467,1497,TV Show,Unsolved,2018,1
248,978,Chef's Table,(2015– ),Documentary,8.6,13508,1498,TV Show,Chef's Table,2019,6
249,996,One Day at a Time,(2017–2020),Comedy,8.2,13247,1509,TV Show,One Day at a Time,2019,3
250,484,Safe,(2018),"Crime, Drama, Mystery",7.3,32141,1513,TV Show,Safe,2018,1
251,240,Russian Doll,(2019– ),"Adventure, Comedy, Drama",7.9,67111,1518,TV Show,Russian Doll,2019,1
252,475,Z Nation,(2014–2018),"Action, Comedy, Drama",6.7,32838,1523,TV Show,Z Nation,2018,5
253,787,Friends from College,(2017–2019),"Comedy, Drama",6.9,18130,1537,TV Show,Friends from College,2019,2
254,285,A Series of Unfortunate Events,(2017–2019),"Adventure, Comedy, Drama",7.8,53947,1544,TV Show,A Series of Unfortunate Events,2019,3
255,1765,Fate/stay night: Unlimited Blade Works,(2014–2015),"Animation, Action, Fantasy",8.0,6137,1567,TV Show,Fate/stay night: Unlimited Blade Works,2015,2
256,1675,Tidelands,(2018),"Crime, Drama, Fantasy",7.0,6560,1576,TV Show,Tidelands,2018,1
257,341,Travelers,(2016–2018),"Drama, Mystery, Sci-Fi",8.1,45933,1577,TV Show,Travelers,2018,3
258,1511,Voltron: Legendary Defender,(2016–2018),"Animation, Action, Adventure",8.1,7664,1578,TV Show,Voltron: Legendary Defender,2018,8
259,1196,Dogs of Berlin,(2018– ),"Action, Crime, Drama",7.6,10398,1580,TV Show,Dogs of Berlin,2018,1
260,821,Frontier,(2016–2018),"Adventure, Drama, History",7.2,17123,1592,TV Show,Frontier,2018,3
261,1797,Sick Note,(2017–2018),"Comedy, Crime",6.8,6028,1594,TV Show,Sick Note,2018,2
262,814,Warrior,(2019– ),"Action, Crime, Drama",8.3,17293,1605,TV Show,Warrior,2018,1
263,1619,Damnation,(2017–2018),"Crime, Drama, Western",7.7,6927,1613,TV Show,Damnation,2017,1
264,1921,Great News,(2017–2018),Comedy,7.0,5444,1622,TV Show,Great News,2017,2
265,181,Making a Murderer,(2015–2018),"Documentary, Crime",8.6,86831,1628,TV Show,Making a Murderer,2018,2
266,1715,Rake,(2010–2018),"Comedy, Drama",8.5,6408,1633,TV Show,Rake,2018,5
267,236,Monty Python's Flying Circus,(1969–1974),Comedy,8.8,67637,1651,TV Show,Monty Python's Flying Circus,1974,4
268,558,American Vandal,(2017–2018),"Comedy, Crime, Drama",8.2,26857,1666,TV Show,American Vandal,2018,2
269,478,Life,(I) (2007–2009),"Crime, Drama, Mystery",8.3,32564,1672,TV Show,Life,2018,1
270,1901,Transformers Prime,(2010–2013),"Animation, Action, Adventure",7.9,5517,1676,TV Show,Transformers Prime,2013,1
271,277,Quantico,(2015–2018),"Crime, Drama, Mystery",6.7,57230,1682,TV Show,Quantico,2018,3
272,1964,The Innocents,(2018),"Drama, Horror, Mystery",6.3,5237,1694,TV Show,The Innocents,2018,1
273,122,The Originals,(2013–2018),"Drama, Fantasy, Horror",8.2,117750,1699,TV Show,The Originals,2018,5
274,910,El Chapo,(2017– ),"Crime, Drama",7.8,14980,1710,TV Show,El Chapo,2018,3
275,1796,Dark Tourist,(2018),Documentary,7.6,6032,1714,TV Show,Dark Tourist,2018,1
276,1652,Mr. Sunshine,(2011–2012),Comedy,6.8,6720,1724,TV Show,Mr. Sunshine,2018,1
277,1153,The Night Shift,(2014–2017),"Drama, Romance",7.4,10956,1738,TV Show,The Night Shift,2017,4
278,256,Unbreakable Kimmy Schmidt,(2015–2019),Comedy,7.6,63590,1741,TV Show,Unbreakable Kimmy Schmidt,2019,4
279,43,Arrested Development,(2003–2019),Comedy,8.7,277090,1742,TV Show,Arrested Development,2019,5
280,988,Trollhunters,(2016–2018),"Animation, Action, Adventure",8.5,13395,1745,TV Show,Trollhunters,2018,3
281,880,Mob Psycho 100,(2016– ),"Animation, Action, Comedy",8.5,15585,1746,TV Show,Mob Psycho 100,2018,1
282,765,Inspector Gadget,(1983–1986),"Animation, Action, Adventure",6.8,18850,1748,TV Show,Inspector Gadget,2017,4
283,1664,Bill Nye Saves the World,(2017–2018),"Comedy, Talk-Show",3.6,6654,1750,TV Show,Bill Nye Saves the World,2018,3
284,151,Star Trek: The Next Generation,(1987–1994),"Action, Adventure, Mystery",8.6,101700,1770,TV Show,Star Trek: The Next Generation,1993,7
285,898,Doctor Foster,(2015–2017),Drama,7.7,15286,1773,TV Show,Doctor Foster,2017,2
286,422,Trailer Park Boys,(2001–2018),"Comedy, Crime",8.4,37439,1775,TV Show,Trailer Park Boys,2018,12
287,1419,Tabula Rasa,(2017),"Drama, Thriller",8.1,8318,1783,TV Show,Tabula Rasa,2017,1
288,1252,The Frankenstein Chronicles,(2015–2017),"Crime, Drama, Fantasy",7.3,9938,1795,TV Show,The Frankenstein Chronicles,2017,2
289,904,Everything Sucks!,(2018),"Comedy, Drama",7.5,15084,1797,TV Show,Everything Sucks!,2018,1
290,284,The Shannara Chronicles,(2016–2017),"Adventure, Fantasy, Sci-Fi",7.2,54373,1805,TV Show,The Shannara Chronicles,2018,2
291,1349,Disjointed,(2017–2018),Comedy,6.8,8901,1809,TV Show,Disjointed,2018,2
292,470,Episodes,(2011–2017),Comedy,7.8,33037,1811,TV Show,Episodes,2017,5
293,852,Lovesick,(2014–2018),Comedy,8.1,16288,1815,TV Show,Lovesick,2018,3
294,534,Halt and Catch Fire,(2014–2017),Drama,8.4,28578,1828,TV Show,Halt and Catch Fire,2017,4
295,166,Broadchurch,(2013–2017),"Crime, Drama, Mystery",8.4,94525,1837,TV Show,Broadchurch,2017,3
296,528,Longmire,(2012–2017),"Action, Crime, Drama",8.3,29313,1843,TV Show,Longmire,2017,6
297,653,The Mist,(2017),"Drama, Horror, Sci-Fi",5.4,22176,1861,TV Show,The Mist,2017,1
298,266,Star Trek: Voyager,(1995–2001),"Action, Adventure, Sci-Fi",7.8,59620,1876,TV Show,Star Trek: Voyager,2000,7
299,402,Dark Matter,(2015–2017),"Adventure, Drama, Mystery",7.5,38979,1886,TV Show,Dark Matter,2017,3
300,362,Reign,(2013–2017),"Drama, Fantasy",7.5,43653,1892,TV Show,Reign,2017,4
301,1021,Frequency,(2016–2017),"Drama, Fantasy, Mystery",7.5,12752,1893,TV Show,Frequency,2016,1
302,40,The Vampire Diaries,(2009–2017),"Drama, Fantasy, Horror",7.7,283524,1894,TV Show,The Vampire Diaries,2016,8
303,24,Narcos,(2015–2017),"Biography, Crime, Drama",8.8,358462,1901,TV Show,Narcos,2017,3
304,107,The IT Crowd,(2006–2013),Comedy,8.5,134441,1917,TV Show,The IT Crowd,2013,5
305,88,Criminal Minds,(2005–2020),"Crime, Drama, Mystery",8.1,161622,1943,TV Show,Criminal Minds,2017,12
306,946,Gypsy,(2017),"Drama, Thriller",6.9,14189,1944,TV Show,Gypsy,2017,1
307,960,Young & Hungry,(2014–2018),"Comedy, Drama, Romance",7.4,13909,1946,TV Show,Young & Hungry,2017,5
308,1132,Aquarius,(2015–2016),"Biography, Crime, Drama",7.1,11203,1948,TV Show,Aquarius,2016,2
309,949,Crashing,(2016),Comedy,7.7,14178,1957,TV Show,Crashing,2016,1
310,1200,Flaked,(2016– ),"Comedy, Drama",7.2,10370,1958,TV Show,Flaked,2017,2
311,355,Bloodline,(2015–2017),"Drama, Thriller",8.0,44078,1964,TV Show,Bloodline,2017,3
312,890,Girlboss,(2017),Comedy,7.0,15429,1974,TV Show,Girlboss,2017,1
313,689,The Get Down,(2016–2017),"Drama, Music, Musical",8.3,21049,1978,TV Show,The Get Down,2017,2
314,293,Star Trek: Deep Space Nine,(1993–1999),"Action, Adventure, Drama",8.0,53284,2002,TV Show,Star Trek: Deep Space Nine,1999,7
315,104,Sense8,(2015–2018),"Drama, Mystery, Sci-Fi",8.3,139640,2006,TV Show,Sense8,2018,2
316,219,Merlin,(2008–2012),"Adventure, Drama, Fantasy",7.9,73807,2016,TV Show,Merlin,2012,5
317,1233,Containment,(2016),Drama,7.2,10101,2041,TV Show,Containment,2016,1
318,250,Marco Polo,(2014–2016),"Adventure, Drama, History",8.0,64780,2072,TV Show,Marco Polo,2016,2
319,428,Hemlock Grove,(2013–2015),"Drama, Horror, Mystery",7.1,36995,2090,TV Show,Hemlock Grove,2015,3
320,564,Lilyhammer,(2012–2014),"Comedy, Crime, Drama",8.0,26595,2096,TV Show,Lilyhammer,2014,3
321,1074,Goosebumps,(1995–1998),"Family, Fantasy, Horror",7.7,11954,2097,TV Show,Goosebumps,1998,5
322,320,The Borgias,(2011–2013),"Crime, Drama, History",7.9,48244,2098,TV Show,The Borgias,2013,3
323,372,The 4400,(2004–2007),"Drama, Mystery, Sci-Fi",7.3,42383,2099,TV Show,The 4400,2007,4
324,1,Breaking Bad,(2008–2013),"Crime, Drama, Thriller",9.5,1468887,2100,TV Show,Breaking Bad,2013,5
325,1750,Adam Ruins Everything,(2015– ),"Animation, Comedy, History",8.0,6230,2114,TV Show,Adam Ruins Everything,2018,1
326,1316,American Crime,(2015–2017),"Crime, Drama",7.8,9246,2122,TV Show,American Crime,2017,3
327,1822,American Odyssey,(2015),"Action, Drama, Thriller",7.3,5928,2124,TV Show,American Odyssey,2015,1
328,1279,Ancient Aliens,(2009– ),"Documentary, Fantasy, History",7.3,9620,2126,TV Show,Ancient Aliens,2018,1
329,1180,Bad Education,(2012–2014),Comedy,7.4,10608,2133,TV Show,Bad Education,2014,3
330,159,Bates Motel,(2013–2017),"Drama, Horror, Mystery",8.2,97152,2138,TV Show,Bates Motel,2017,5
331,1436,Battle Creek,(2015),"Comedy, Crime, Drama",7.3,8194,2139,TV Show,Battle Creek,2015,1
332,991,Ben 10,(2005–2008),"Animation, Action, Adventure",7.2,13313,2149,TV Show,Ben 10,2016,1
333,848,Bitten,(2014–2016),"Drama, Fantasy, Horror",7.0,16326,2155,TV Show,Bitten,2016,3
334,322,Cheers,(1982–1993),"Comedy, Drama",7.8,48175,2186,TV Show,Cheers,1992,11
335,1510,Chewing Gum,(2015–2017),Comedy,7.7,7679,2189,TV Show,Chewing Gum,2017,2
336,1875,Dad's Army,(1968–1977),"Comedy, War",8.1,5651,2211,TV Show,Dad's Army,1977,10
337,7,Dexter,(2006–2021),"Crime, Drama, Mystery",8.6,647136,2221,TV Show,Dexter,2013,8
338,295,Extras,(2005–2007),"Comedy, Drama",8.3,53177,2247,TV Show,Extras,2006,2
339,556,Ezel,(2009–2011),"Crime, Drama, Thriller",8.6,27255,2248,TV Show,Ezel,2009,1
340,1442,Father Brown,(2013– ),"Crime, Drama, Mystery",7.7,8151,2252,TV Show,Father Brown,2017,6
341,218,Frasier,(1993–2004),Comedy,8.1,73865,2264,TV Show,Frasier,2003,11
342,3,Friends,(1994–2004),"Comedy, Romance",8.9,829816,2266,TV Show,Friends,2003,10
343,943,Galavant,(2015–2016),"Adventure, Comedy, Fantasy",8.1,14226,2269,TV Show,Galavant,2016,2
344,1844,Get Shorty,(2017– ),"Comedy, Crime",8.2,5793,2277,TV Show,Get Shorty,2017,1
345,94,Gossip Girl,(2007–2012),"Drama, Romance",7.4,154572,2283,TV Show,Gossip Girl,2012,6
346,57,Hannibal,(2013–2015),"Crime, Drama, Horror",8.5,228558,2290,TV Show,Hannibal,2015,3
347,463,Happy Valley,(2014– ),"Crime, Drama, Thriller",8.4,33692,2292,TV Show,Happy Valley,2016,2
348,338,Hart of Dixie,(2011–2015),"Comedy, Drama, Romance",7.7,46330,2296,TV Show,Hart of Dixie,2014,4
349,441,Haven,(2010– ),"Crime, Drama, Fantasy",7.6,35409,2298,TV Show,Haven,2015,5
350,541,Helix,(2014–2015),"Drama, Horror, Mystery",6.8,28271,2300,TV Show,Helix,2015,1
351,324,Hell on Wheels,(2011–2016),"Drama, Western",8.3,47904,2301,TV Show,Hell on Wheels,2016,5
352,1126,Hinterland,(2013–2016),"Crime, Drama, Mystery",7.6,11337,2306,TV Show,Hinterland,2016,3
353,763,Intelligence,(2014),"Action, Drama, Sci-Fi",6.9,18865,2327,TV Show,Intelligence,2007,2
354,1768,Jeopardy!,(1984– ),Game-Show,8.2,6130,2333,TV Show,Jeopardy!,2019,2
355,286,Jericho,(2006–2008),"Action, Drama, Mystery",7.9,53920,2334,TV Show,Jericho,2008,2
356,1647,Liv and Maddie,(2013–2017),"Comedy, Drama, Family",6.3,6749,2377,TV Show,Liv and Maddie,2017,4
357,532,Lost Girl,(2010–2016),"Action, Drama, Fantasy",7.7,28705,2384,TV Show,Lost Girl,2015,5
358,68,Mad Men,(2007–2015),Drama,8.6,208096,2390,TV Show,Mad Men,2014,7
359,964,Mars,(2016–2018),"Adventure, Drama, Sci-Fi",7.5,13818,2401,TV Show,Mars,2018,2
360,1575,Merlí,(2015–2018),"Comedy, Drama, Romance",8.6,7164,2407,TV Show,Merlí,2015,1
361,631,Mystery Science Theater 3000,(1988–1999),"Comedy, Sci-Fi",8.5,22979,2427,TV Show,Mystery Science Theater 3000,1999,1
362,589,Nurse Jackie,(2009–2015),"Comedy, Drama",7.7,24764,2443,TV Show,Nurse Jackie,2015,7
363,1645,One Strange Rock,(2018– ),Documentary,8.8,6755,2450,TV Show,One Strange Rock,2018,1
364,64,Parks and Recreation,(2009–2020),Comedy,8.6,214125,2459,TV Show,Parks and Recreation,2015,7
365,895,Pawn Stars,(2009– ),Reality-TV,7.2,15344,2461,TV Show,Pawn Stars,2010,1
366,136,Penny Dreadful,(2014–2016),"Drama, Fantasy, Horror",8.2,112153,2463,TV Show,Penny Dreadful,2016,3
367,87,Person of Interest,(2011–2016),"Action, Crime, Drama",8.4,163362,2464,TV Show,Person of Interest,2016,5
368,781,Portlandia,(2011–2018),Comedy,7.8,18283,2468,TV Show,Portlandia,2018,8
369,947,Ramayan,(1987–1988),"Adventure, Drama, Family",9.1,14185,2500,TV Show,Ramayan,2012,1
370,593,Rectify,(2013–2016),Drama,8.3,24628,2504,TV Show,Rectify,2016,4
371,1351,Red vs. Blue,(2003– ),"Animation, Short, Action",8.3,8885,2505,TV Show,Red vs. Blue,2015,13
372,134,Revenge,(2011–2015),"Drama, Mystery, Thriller",7.8,112608,2508,TV Show,Revenge,2017,1
373,747,Ripper Street,(2012–2016),"Crime, Drama, Mystery",8.1,19333,2511,TV Show,Ripper Street,2017,5
374,750,Royal Pains,(2009–2016),"Comedy, Drama",7.0,19234,2515,TV Show,Royal Pains,2016,8
375,239,Scandal,(2012–2018),"Drama, Thriller",7.7,67302,2522,TV Show,Scandal,2018,7
376,5,Sherlock,(2010–2017),"Crime, Drama, Mystery",9.1,808717,2528,TV Show,Sherlock,2017,4
377,830,Star-Crossed,(2014),"Drama, Romance, Sci-Fi",7.3,16862,2540,TV Show,Star-Crossed,2014,1
378,22,Suits,(2011–2019),"Comedy, Drama",8.5,364077,2548,TV Show,Suits,2018,1
379,1290,Taken,(2017–2018),"Action, Drama, Thriller",6.6,9527,2555,TV Show,Taken,2018,2
380,95,That '70s Show,(1998–2006),"Comedy, Romance",8.1,154375,2560,TV Show,That '70s Show,2005,8
381,1050,The Andy Griffith Show,(1960–1968),"Comedy, Family",8.3,12321,2564,TV Show,The Andy Griffith Show,1967,8
382,1726,The Bachelor,(2002– ),"Drama, Game-Show, Reality-TV",3.2,6333,2566,TV Show,The Bachelor,2009,1
383,590,The Fosters,(2013–2018),"Drama, Romance",7.9,24725,2584,TV Show,The Fosters,2017,5
384,1269,The Guild,(2007–2013),"Short, Comedy",8.2,9705,2590,TV Show,The Guild,2013,1
385,200,The Inbetweeners,(2008–2010),Comedy,8.4,80304,2594,TV Show,The Inbetweeners,2010,3
386,604,The L Word,(I) (2004–2009),"Drama, Romance",7.6,24134,2600,TV Show,The L Word,2009,6
387,1368,The Messengers,(2015),"Drama, Fantasy, Mystery",6.5,8751,2605,TV Show,The Messengers,2015,1
388,1116,The Returned,(2015),"Drama, Fantasy, Horror",7.1,11469,2618,TV Show,The Returned,2015,1
389,231,The Tudors,(2007–2010),"Drama, History, Romance",8.1,68757,2626,TV Show,The Tudors,2010,4
390,1955,The Universe,(2007–2015),"Documentary, History",8.7,5276,2629,TV Show,The Universe,2009,1
391,249,The West Wing,(1999–2006),Drama,8.8,64977,2632,TV Show,The West Wing,2005,7
392,1690,Toast of London,(2012– ),Comedy,8.2,6494,2641,TV Show,Toast of London,2015,3
393,80,Twin Peaks,(1990–1991),"Crime, Drama, Mystery",8.8,175882,2647,TV Show,Twin Peaks,1990,2
394,150,Weeds,(2005–2012),"Comedy, Crime, Drama",7.9,102488,2655,TV Show,Weeds,2012,8
395,1232,When Calls the Heart,(2014– ),"Drama, Romance",8.2,10112,2659,TV Show,When Calls the Heart,2017,5
396,732,Yeh Meri Family,(2018),"Comedy, Drama, Family",9.1,19684,2667,TV Show,Yeh Meri Family,2018,1
